Symbol,Feed ID,Publisher Count
WEN/USD,5169491cd7e2a44c98353b779d5eb612e4ac32e073f5cc534303d86307c2f1bc,0
TOKEN/USD,12d65f1ff0624e4fe2cb450040cc7ba1db91914ad29e4c1a1d339494f078a92b,0
AMD/USD,3622e381dbca2efd1859253763b1adc63f7f9abb8e76da1aa8e638a57ccde93e,0
ABF/GBP,72bd42358798e4c7b20e608f0d4dd704db6566ac889fe709161ad6ad01f416d3,0
HSY/USD,824852f734257f78f21791d6082fa7d3380da95a16d248d50a6e9706d0a0fbec,0
KQ.039490/KRW,e328971cb46ba37291cfcec4ec44f46030d817bb4181225115907cf2f1d55575,0
ERF/EUR,2d7f59647de2409151a60364d6f17224c6fba47f71be6fe7243bd41270f6d7c1,0
HAEDAL/USD,e67d98cc1fbd94f569d5ba6c3c3c759eb3ffc5d2b28e64538a53ae13efad8fd1,0
HK.2057/HKD,86d7544952bd74ea3a09d5fb2dcd7e42b2a0ee0806dc171a4c51740c84067769,0
CTVA/USD,5fcafa59eadb26d764ed8de3d1ce071a4a9337dddf093ee8a7bace713aed7f22,0
BTT/USD,097d687437374051c75160d648800f021086bc8edf469f11284491fda8192315,0
TQQQ/USD,5aa9f82dc2e0f5f8271fd163e980010101517da59f4b72b71c7056a5950b2f9d,0
TEMPLAR/USD,f2cc0fda44b299ad24668891dfb7d929d6f3692188e13418e085ee684d1617cb,0
INJ/USD,7a5bc1d2b56ad029048cd63964b3ad2776eadf812edc1a43a31406cb54bff592,0
TAC/USD,f3d1e3fbe7944d9008cbc4e6390677d60ba1ea118f230570369355dc3780c7b4,0
US100M5/USD,c08b05c2977790750d32f6c36ba86362639b3b8640433075dc4ceaeeaf6c11d6,0
ORCL/USD,e47ff732eaeb6b4163902bdee61572659ddf326511917b1423bae93fcdf3153c,0
CB/USD,ff65ec3cf0931c4c489baecd95da35d3db5aa0278150d0d09a3fdc25970fc690,0
NVDA/USD,b1073854ed24cbc755dc527418f52b7d271f6cc967bbf8d8129112b18860a593,0
APP/USD,54f128939505878cf4412abc5a533255ce07e85833849170deb67deff0533aa7,0
LMT/USD EXTENDED,ad14695d7b8cb6dc31a858e74f6d55e6e05650a9c0bf4a5b637d28dd81888095,0
BCH/USD,3dd2b63686a450ec7290df3a1e0b583c0481f651351edfa7636f39aed55cf8a3,0
