Symbol,Feed_ID,Publisher_Count
WEN/USD,5169491cd7e2a44c98353b779d5eb612e4ac32e073f5cc534303d86307c2f1bc,0
TOKEN/USD,12d65f1ff0624e4fe2cb450040cc7ba1db91914ad29e4c1a1d339494f078a92b,63222
AMD/USD,3622e381dbca2efd1859253763b1adc63f7f9abb8e76da1aa8e638a57ccde93e,63222
ABF/GBP,72bd42358798e4c7b20e608f0d4dd704db6566ac889fe709161ad6ad01f416d3,35147
HSY/USD,824852f734257f78f21791d6082fa7d3380da95a16d248d50a6e9706d0a0fbec,35147
KQ.039490/KRW,e328971cb46ba37291cfcec4ec44f46030d817bb4181225115907cf2f1d55575,25327
ERF/EUR,2d7f59647de2409151a60364d6f17224c6fba47f71be6fe7243bd41270f6d7c1,50982
HAEDAL/USD,e67d98cc1fbd94f569d5ba6c3c3c759eb3ffc5d2b28e64538a53ae13efad8fd1,50982
HK.2057/HKD,86d7544952bd74ea3a09d5fb2dcd7e42b2a0ee0806dc171a4c51740c84067769,47840
CTVA/USD,5fcafa59eadb26d764ed8de3d1ce071a4a9337dddf093ee8a7bace713aed7f22,47840
BTT/USD,097d687437374051c75160d648800f021086bc8edf469f11284491fda8192315,7153
TQQQ/USD,5aa9f82dc2e0f5f8271fd163e980010101517da59f4b72b71c7056a5950b2f9d,7153
TEMPLAR/USD,f2cc0fda44b299ad24668891dfb7d929d6f3692188e13418e085ee684d1617cb,53066
INJ/USD,7a5bc1d2b56ad029048cd63964b3ad2776eadf812edc1a43a31406cb54bff592,62669
TAC/USD,f3d1e3fbe7944d9008cbc4e6390677d60ba1ea118f230570369355dc3780c7b4,53066
US100M5/USD,c08b05c2977790750d32f6c36ba86362639b3b8640433075dc4ceaeeaf6c11d6,34581
ORCL/USD,e47ff732eaeb6b4163902bdee61572659ddf326511917b1423bae93fcdf3153c,34581
CB/USD,ff65ec3cf0931c4c489baecd95da35d3db5aa0278150d0d09a3fdc25970fc690,15027
NVDA/USD,b1073854ed24cbc755dc527418f52b7d271f6cc967bbf8d8129112b18860a593,34581
APP/USD,54f128939505878cf4412abc5a533255ce07e85833849170deb67deff0533aa7,15027
LMT/USD EXTENDED,ad14695d7b8cb6dc31a858e74f6d55e6e05650a9c0bf4a5b637d28dd81888095,21863
BCH/USD,3dd2b63686a450ec7290df3a1e0b583c0481f651351edfa7636f39aed55cf8a3,24062
SOLV/USD,d96aa551f05f1e84366a7b32afb363aadbcf5357d2caca43bcefdb3e65eccb11,24062
STIP/IP,1997bb9bdde99431e222562f1d659c901a075fbf82502a8155d96fb2c7e33991,24062
US100H6/USD,3f25534247e93c87271d0b65b475b0c139b6cb3a734f3800a658e287a1283b2c,16868
KQ.011200/KRW,eedf369deb761f27365fd17e8310ab2df2af074068d4f436d14382a02eff5d8a,16868
BRENT2M/USD,a6416fd4788c8d0f0b5c7d9d93030f4f6b4a012a324771026f4b20d20114fcf4,16868
BEN/USD,da588e138c2bfac1d3961703edce382c431c77406a68427153b9ac08f5a1b9e4,5947
HK.9633/HKD,7ba7dce08b4c8a42335b12df281268b75b6180158ce3978c617f5bf3d400f2cc,5947
CFG/USD,c7c24c987c84f7c76bde1a1d50ff04624422d9ac68bd8f039a57a30e24dc524b,60979
AEE/USD,3ba9d201026abdc250a275d59f722abeef1bdcdc7364fedbaecef61c7da788b9,60979
BATS/GBP,d702a51d5b5179e0d207051e8f133e0cf16b026fb8b363ac039fa65d6c8ea6eb,61159
XEC/USD,44622616f246ce5fc46cf9ebdb879b0c0157275510744cea824ad206e48390b3,10502
BAYN/EUR,09cbc7aa0140571776096c05d1a437eba39ae209e708db956a1dd3d2f2ed5c7e,10502
BSX/USD,d699ec7e73369362480f83d2a6f6ec778fa2947a45f1e94309cf893689d35262,1664
SCRT/USD,ac5a498aa407c3642257dc8bd8b92efda656e708b22be9b96febcb77878d6bfa,51172
XCFX/CFX,4ce9388417b83fcb0c0179d218b0e57ed1702d824c4e251ef86b3c658e6dc3b6,51172
KMI/USD,f709b8c2869054ca5c3cef0a3a1a97ff4960aff3f3b4eb611022079b1ff73e50,43554
DYDX/USD,6489800bb8974169adfe35937bf6736507097d13c190d760c557108c7e93a81b,18618
KQ.010620/KRW,5a8cf706b46b63822bcaa9f38178f750435e148b40c0ec04c83b05e51f27ef75,18618
AERO/USD,9db37f4d5654aad3e37e2e14ffd8d53265fb3026d1d8f91146539eebaa2ef45f,18618
EFA/USD,3b7ef6c95ceedbffbb66bff3d6135a200c5d0a0466b0c90812510ceaedebaf04,22117
CDCETH/ETH,a4972a52c16cfdc55c3967099700dcb072b8dee851f7f4a6d989866ae6a9c195,47738
BAL/USD,07ad7b4a7662d19a6bc675f6b467172d2f3947fa653ca97555a9b20236406628,47738
